thanks-22,2016-11-24 22:00,2018-11-22 22:00,2013-11-28 22:00,2014-11-27 22:00,2015-11-26 22:00
native-13,2014-11-28 13:00,2015-11-27 13:00,2018-11-23 13:00,2013-11-22 13:00,2016-11-25 13:00
ny-10,2018-01-01 10:00,2017-01-01 10:00,2016-01-01 10:00,2014-01-01 10:00,2015-01-01 10:00,2013-01-01 10:00
mlk-17,2015-01-19 17:00,2013-01-21 17:00,2014-01-20 17:00,2018-01-15 17:00,2016-01-18 17:00
mlk-18,2014-01-20 18:00,2013-01-21 18:00,2016-01-18 18:00,2015-01-19 18:00,2018-01-15 18:00
mlk-20,2013-01-21 20:00,2014-01-20 20:00,2015-01-19 20:00,2018-01-15 20:00,2016-01-18 20:00
mem-6,2014-05-26 06:00,2018-05-28 06:00,2013-05-27 06:00,2015-05-25 06:00,2016-05-30 06:00
native-6,2013-11-22 06:00,2014-11-28 06:00,2015-11-27 06:00,2018-11-23 06:00,2016-11-25 06:00
eve-20,2016-12-24 20:00,2013-12-24 20:00,2014-12-24 20:00,2018-12-24 20:00,2015-12-24 20:00
mlk-19,2018-01-15 19:00,2016-01-18 19:00,2013-01-21 19:00,2015-01-19 19:00,2014-01-20 19:00
dst-9,2014-03-09 09:00,2013-03-10 09:00,2015-03-08 09:00,2018-03-11 09:00,2016-03-13 09:00
mem-7,2018-05-28 07:00,2016-05-30 07:00,2015-05-25 07:00,2013-05-27 07:00,2014-05-26 07:00
native-17,2013-11-22 17:00,2015-11-27 17:00,2018-11-23 17:00,2016-11-25 17:00,2014-11-28 17:00
eve-17,2018-12-24 17:00,2013-12-24 17:00,2015-12-24 17:00,2016-12-24 17:00,2014-12-24 17:00
ny-6,2014-01-01 06:00,2018-01-01 06:00,2013-01-01 06:00,2017-01-01 06:00,2015-01-01 06:00,2016-01-01 06:00
mem-20,2015-05-25 20:00,2013-05-27 20:00,2016-05-30 20:00,2014-05-26 20:00,2018-05-28 20:00
labor-11,2016-09-05 11:00,2015-09-07 11:00,2018-09-03 11:00,2013-09-02 11:00,2014-09-01 11:00
native-0,2014-11-28 00:00,2015-11-27 00:00,2018-11-23 00:00,2013-11-22 00:00,2016-11-25 00:00
ny-7,2013-01-01 07:00,2018-01-01 07:00,2016-01-01 07:00,2014-01-01 07:00,2017-01-01 07:00,2015-01-01 07:00
ny-15,2016-01-01 15:00,2013-01-01 15:00,2018-01-01 15:00,2017-01-01 15:00,2014-01-01 15:00,2015-01-01 15:00
native-16,2013-11-22 16:00,2015-11-27 16:00,2016-11-25 16:00,2018-11-23 16:00,2014-11-28 16:00
xmas-12,2013-12-25 12:00,2016-12-25 12:00,2014-12-25 12:00,2018-12-25 12:00,2015-12-25 12:00
mlk-23,2018-01-15 23:00,2014-01-20 23:00,2015-01-19 23:00,2013-01-21 23:00,2016-01-18 23:00
dst-21,2015-03-08 21:00,2014-03-09 21:00,2016-03-13 21:00,2013-03-10 21:00,2018-03-11 21:00
mem-17,2018-05-28 17:00,2014-05-26 17:00,2015-05-25 17:00,2016-05-30 17:00,2013-05-27 17:00
labor-21,2014-09-01 21:00,2015-09-07 21:00,2013-09-02 21:00,2018-09-03 21:00,2016-09-05 21:00
thanks-3,2015-11-26 03:00,2013-11-28 03:00,2016-11-24 03:00,2018-11-22 03:00,2014-11-27 03:00
native-14,2014-11-28 14:00,2013-11-22 14:00,2016-11-25 14:00,2018-11-23 14:00,2015-11-27 14:00
xmas-20,2015-12-25 20:00,2013-12-25 20:00,2016-12-25 20:00,2014-12-25 20:00,2018-12-25 20:00
thanks-20,2013-11-28 20:00,2018-11-22 20:00,2015-11-26 20:00,2016-11-24 20:00,2014-11-27 20:00
labor-7,2013-09-02 07:00,2015-09-07 07:00,2016-09-05 07:00,2014-09-01 07:00,2018-09-03 07:00
eve-18,2016-12-24 18:00,2015-12-24 18:00,2014-12-24 18:00,2018-12-24 18:00,2013-12-24 18:00
xmas-6,2013-12-25 06:00,2018-12-25 06:00,2014-12-25 06:00,2015-12-25 06:00,2016-12-25 06:00
xmas-13,2018-12-25 13:00,2016-12-25 13:00,2014-12-25 13:00,2013-12-25 13:00,2015-12-25 13:00
dst-6,2018-03-11 06:00,2016-03-13 06:00,2014-03-09 06:00,2013-03-10 06:00,2015-03-08 06:00
xmas-10,2018-12-25 10:00,2015-12-25 10:00,2014-12-25 10:00,2013-12-25 10:00,2016-12-25 10:00
mlk-13,2018-01-15 13:00,2016-01-18 13:00,2014-01-20 13:00,2015-01-19 13:00,2013-01-21 13:00
labor-8,2018-09-03 08:00,2015-09-07 08:00,2016-09-05 08:00,2013-09-02 08:00,2014-09-01 08:00
thanks-11,2015-11-26 11:00,2018-11-22 11:00,2013-11-28 11:00,2016-11-24 11:00,2014-11-27 11:00
thanks-18,2015-11-26 18:00,2014-11-27 18:00,2018-11-22 18:00,2016-11-24 18:00,2013-11-28 18:00
ny-1,2014-01-01 01:00,2013-01-01 01:00,2017-01-01 01:00,2016-01-01 01:00,2015-01-01 01:00,2018-01-01 01:00
ny-18,2014-01-01 18:00,2016-01-01 18:00,2018-01-01 18:00,2013-01-01 18:00,2015-01-01 18:00,2017-01-01 18:00
dst-14,2016-03-13 14:00,2014-03-09 14:00,2015-03-08 14:00,2013-03-10 14:00,2018-03-11 14:00
xmas-16,2013-12-25 16:00,2015-12-25 16:00,2018-12-25 16:00,2016-12-25 16:00,2014-12-25 16:00
ny-12,2016-01-01 12:00,2014-01-01 12:00,2018-01-01 12:00,2017-01-01 12:00,2013-01-01 12:00,2015-01-01 12:00
dst-10,2016-03-13 10:00,2013-03-10 10:00,2015-03-08 10:00,2014-03-09 10:00,2018-03-11 10:00
dst-22,2013-03-10 22:00,2014-03-09 22:00,2016-03-13 22:00,2018-03-11 22:00,2015-03-08 22:00
mem-8,2013-05-27 08:00,2015-05-25 08:00,2014-05-26 08:00,2018-05-28 08:00,2016-05-30 08:00
xmas-0,2014-12-25 00:00,2013-12-25 00:00,2016-12-25 00:00,2015-12-25 00:00,2018-12-25 00:00
indep-22,2018-07-04 22:00,2013-07-04 22:00,2014-07-04 22:00,2015-07-04 22:00,2016-07-04 22:00
mlk-22,2018-01-15 22:00,2016-01-18 22:00,2013-01-21 22:00,2014-01-20 22:00,2015-01-19 22:00
dst-1,2015-03-08 01:00,2016-03-13 01:00,2014-03-09 01:00,2013-03-10 01:00,2018-03-11 01:00
eve-13,2015-12-24 13:00,2016-12-24 13:00,2013-12-24 13:00,2018-12-24 13:00,2014-12-24 13:00
dst-8,2014-03-09 08:00,2016-03-13 08:00,2015-03-08 08:00,2018-03-11 08:00,2013-03-10 08:00
thanks-16,2014-11-27 16:00,2018-11-22 16:00,2013-11-28 16:00,2015-11-26 16:00,2016-11-24 16:00
native-15,2016-11-25 15:00,2018-11-23 15:00,2014-11-28 15:00,2015-11-27 15:00,2013-11-22 15:00
mlk-9,2015-01-19 09:00,2013-01-21 09:00,2018-01-15 09:00,2014-01-20 09:00,2016-01-18 09:00
labor-16,2016-09-05 16:00,2013-09-02 16:00,2018-09-03 16:00,2015-09-07 16:00,2014-09-01 16:00
mlk-12,2014-01-20 12:00,2018-01-15 12:00,2016-01-18 12:00,2013-01-21 12:00,2015-01-19 12:00
indep-13,2014-07-04 13:00,2018-07-04 13:00,2013-07-04 13:00,2016-07-04 13:00,2015-07-04 13:00
indep-17,2014-07-04 17:00,2018-07-04 17:00,2015-07-04 17:00,2016-07-04 17:00,2013-07-04 17:00
thanks-7,2015-11-26 07:00,2014-11-27 07:00,2016-11-24 07:00,2013-11-28 07:00,2018-11-22 07:00
native-12,2014-11-28 12:00,2016-11-25 12:00,2018-11-23 12:00,2015-11-27 12:00,2013-11-22 12:00
xmas-8,2016-12-25 08:00,2013-12-25 08:00,2018-12-25 08:00,2015-12-25 08:00,2014-12-25 08:00
